"PassengerId","Survived"
3,"0"
6,"0"
8,"0"
13,"0"
20,"1"
21,"0"
23,"1"
26,"0"
41,"0"
42,"1"
44,"1"
48,"1"
55,"1"
57,"1"
58,"0"
64,"0"
65,"0"
70,"0"
76,"0"
84,"0"
89,"1"
90,"0"
104,"0"
105,"1"
107,"0"
110,"0"
111,"0"
113,"0"
119,"0"
121,"0"
122,"0"
125,"0"
128,"0"
129,"1"
135,"0"
136,"0"
137,"1"
149,"0"
150,"0"
152,"1"
154,"0"
156,"1"
166,"1"
167,"1"
171,"0"
174,"0"
176,"0"
177,"0"
179,"0"
189,"0"
193,"0"
195,"1"
196,"1"
201,"0"
202,"0"
204,"0"
208,"0"
210,"0"
212,"1"
215,"0"
221,"0"
223,"0"
224,"0"
227,"0"
229,"0"
232,"0"
238,"1"
253,"1"
255,"1"
268,"0"
273,"1"
278,"0"
279,"0"
285,"0"
291,"1"
298,"1"
300,"1"
301,"1"
309,"0"
311,"1"
315,"0"
321,"0"
326,"1"
329,"1"
331,"1"
332,"1"
339,"0"
341,"1"
342,"1"
344,"0"
345,"0"
363,"1"
364,"0"
369,"1"
373,"0"
379,"0"
381,"1"
382,"1"
386,"0"
389,"0"
393,"1"
395,"1"
414,"0"
416,"1"
422,"0"
427,"1"
436,"1"
437,"0"
442,"0"
443,"0"
451,"0"
458,"1"
459,"1"
468,"1"
471,"0"
477,"0"
479,"0"
481,"0"
484,"1"
485,"1"
488,"1"
491,"0"
493,"1"
494,"0"
500,"0"
506,"1"
511,"0"
513,"1"
515,"0"
516,"0"
518,"0"
521,"1"
526,"0"
527,"1"
531,"1"
535,"0"
536,"1"
540,"1"
544,"0"
545,"1"
551,"1"
552,"0"
564,"0"
565,"0"
574,"1"
577,"1"
578,"1"
579,"1"
580,"0"
581,"1"
586,"1"
598,"0"
600,"1"
604,"0"
605,"0"
611,"0"
612,"0"
614,"0"
617,"0"
619,"1"
628,"1"
629,"0"
632,"0"
633,"0"
634,"0"
641,"0"
642,"1"
646,"0"
648,"0"
650,"0"
651,"0"
662,"0"
673,"0"
683,"0"
685,"0"
688,"0"
690,"1"
692,"0"
705,"0"
707,"1"
714,"0"
717,"1"
722,"0"
732,"0"
735,"0"
739,"0"
746,"0"
747,"1"
757,"0"
759,"0"
761,"0"
767,"0"
783,"1"
786,"0"
788,"0"
792,"0"
796,"0"
803,"1"
805,"0"
806,"0"
811,"0"
812,"0"
819,"0"
821,"1"
823,"0"
825,"0"
838,"0"
842,"0"
843,"1"
846,"0"
847,"0"
849,"0"
854,"1"
855,"1"
857,"1"
864,"0"
865,"0"
872,"1"
878,"0"
880,"1"
884,"0"
885,"0"
887,"0"
